1742926915.357666,1.00,64
1742926915.401771,1.00,64
1742926915.444253,2.00,64
1742926915.444386,3.00,64
1742926915.485052,4.00,64
1742926915.486011,5.00,64
1742926915.586186,1.00,3
1742926915.628607,1.00,3
1742926915.729691,1.00,2
1742926915.929954,1.00,2
1742926916.331215,1.00,2
1742926916.372833,1.00,2
1742926917.173182,1.00,2
1742926918.773355,1.00,2
1742926918.815305,1.00,2
1742926918.858032,2.00,2
1742926918.899617,2.90,2
1742926918.899725,3.24,2
1742926918.941383,3.55,2
1742926918.941546,3.83,2
1742926918.941572,4.10,2
1742926918.983045,4.34,2
1742926918.983263,4.57,2
1742926918.983290,4.79,2
1742926919.025769,5.00,2
1742926919.025883,5.39,2
1742926919.025893,5.58,2
1742926919.067461,5.75,2
1742926919.067604,5.93,2
1742926919.108967,6.10,2
1742926919.648776,1.00,3
1742926919.689954,1.00,3
1742926919.690049,2.00,3
1742926920.746205,1.00,2
1742926921.802513,1.00,2
1742926923.914758,1.00,2
1742926928.139384,1.00,2
1742926928.181389,1.00,2
1742926928.223193,2.90,2
1742926928.223252,3.24,2
1742926928.264341,3.55,2
1742926928.264450,3.83,2
1742926928.264486,4.10,2
1742926928.874161,1.00,2
1742926928.915496,1.00,2
1742926929.524634,1.00,2
1742926929.565461,1.00,2
1742926929.606521,2.90,2
1742926929.606610,3.24,2
1742926929.647760,3.55,2
1742926929.647887,3.83,2
1742926929.647922,4.10,2
1742926929.982160,1.00,2
1742926930.024429,1.00,2
1742926930.024468,2.00,2
1742926930.632295,1.00,2
1742926930.674840,1.00,2
1742926930.674908,2.00,2
1742926931.761308,1.00,2
1742926931.803333,1.00,2
1742926931.803462,2.00,2
1742926931.845645,2.50,2
